amount,debtorIban
97047.52,RO56 HPQT VI0B MEHF LNVO GXCX
60479.18,GT87 LKM5 GMJP E0AB UDMX VTVI GFX2
12185.99,FR57 3474 1330 33XV 4GHN CLIG L95
53815.21,ME95 2239 9994 8378 5575 67
39576.87,FR06 6230 6687 39LP WEDN C6GE E86
94159.06,LV15 FHZL HQPM FP7Q BCV4 N
28411.93,FR45 1454 8085 83H9 C3US FLGO 904
8244.39,BH77 VNHW O1TM U5JH HC1X O8
39980.46,MT41 NMUR 8219 7IYB KXWY 25ZD WUU6 CZA
99272.83,DE66 4156 2580 5298 7109 74
34155.21,IL96 8827 3717 9084 7647 059
6664.62,GE10 LC36 5119 8042 0304 41
10473.45,AT95 6623 3130 4658 0960
34861.01,IT89 Q592 7852 397Z WJVK RKTJ PB5
42368.51,FR34 6412 1592 40MJ V1SK 8UYD N84
16706.77,GI74 SEGH BI78 PXQO FHLK ECU
39532.63,AD87 9664 9683 4EHR 4Z6U AAGK
8528.31,FR18 2113 9373 95LH XAKY C9MC D79
5670.04,GE03 GE39 0695 9055 5357 92
7824.77,MR47 1094 3728 0338 6567 8148 657
26508.18,GR33 4951 0513 DLMR XUIZ XLDD XK1
47916.25,GI98 BTYE XWTV LVRT U47Q M5M
56147.97,GE62 NO92 0742 0590 9750 83
38158.95,FR47 5513 1576 81NE QGNB BOCG Z79
26120.04,FR76 2386 7708 483W LHLE IJEH G64
34663.23,BE66 0789 8977 2037
96111.74,FR28 5450 6418 88R5 O8EJ FUXZ S50
28307.48,GR15 3400 344C QXWZ TY1F K5GW MOB
17467.8,FR77 8495 4986 70HN JGYQ ISUI 084
80967.37,NO38 6441 0991 418
57594.92,FR49 1139 5218 24ZL M01D YYWX D39
23473.24,CH88 1914 0OUV TZXF HJU9 A
29115.23,PT82 3036 3243 0976 3335 6729 7
47322.74,FR90 6724 9982 3741 HK9Q HWHZ G82
24094.02,SK85 8265 0027 0352 1048 6270
23069.69,MU81 NRTX 0050 6560 1736 2465 046F BQ
36780.42,GL77 4506 7514 8248 62
59845.04,BA73 9984 4272 4944 2158
34937.46,AD83 4242 6781 7WJ1 CNIM ULOI
26350.48,GI87 GTVG FOEO 3SEN O4FS NQS
87182.92,BG03 QMTL 7780 440I SFG7 PG
37364.3,GI11 UGUD 1MHV SASV LAGF KGU
92401.02,MK37 8254 PDAV HVDU 806
41037.11,FI77 3526 0931 1595 17
14954.79,IS10 5036 6290 1353 1689 8771 33
31250.23,GB28 XYYU 5573 8717 3978 34
29022.87,TR34 9132 0JJ2 S1R0 MRHD JAWJ BQ
35345.97,SI59 4929 6495 9787 059
5549.47,SA20 17WP NN6I HFKM K4JR ZT3S
65967.51,DK61 6448 7684 2995 30
7418.25,FR38 9072 4097 84AB SFQX D7XK M77
60456.96,MD72 TI6C BPPJ E9FW ME9P A4JD
97546.73,IE31 SYKX 0163 9494 4343 17
72885.02,SE96 0609 9239 3569 7479 6495
34971.7,CY14 8475 5919 74YJ 2CXZ HJKK LVJU
4125.27,FR21 4085 5913 89BE UO7P NNNY X05
86158.27,MD28 BZTL NMRM S1P4 RKHV SC5J
46516.57,DK42 4890 6701 2856 76
47461.4,AD95 6994 9308 OZJV ERKQ 4XO1
54226.75,FR30 5434 5795 20GL MYW1 KUVM V37
27211.97,GB48 KWNV 0948 3547 3866 60
33887.78,GE66 DR73 9238 4034 3651 92
43930.7,AZ77 KGCA 2FNT 3MMD SXCV TCNL NKJA
55179.67,GE41 VV72 7183 7933 0289 82
94334.43,LB70 3066 HULD NBR3 M8EY XUW5 DKNV
2501.56,DO04 DDB8 7243 3399 7845 5194 9025
49652.85,DE77 3738 8741 3209 0759 70
60564.24,BR75 0593 3687 5944 4189 3011 823Z U
88304.62,AE61 3206 2925 7204 2697 464
46811.72,PT20 3809 4316 6368 9880 4674 2
26556.9,GT21 43D0 ONCV V6GD 7RHN 0G6K LPOM
74307.15,BE40 1594 9968 1519
36006.67,LI14 3020 9CZC Q4ZA Y7M0 F
26022.16,KW67 ZCWK V5YE CR31 C4BM YA0A HHOO 3D
48841.84,FR84 8224 6190 297H OMTA RVLZ U06
17779.27,TN39 2954 9036 5041 1106 4340
64682.21,BG70 PRSN 2799 53F1 IFKC KE
14.34,FR48 4216 0957 14B2 LDOE KX7X C90
61228.36,FR28 9804 7268 45NP RWZA JJQK A10
86592.65,PT29 5510 2255 9637 5937 4589 7
83230.99,FI02 5702 8882 4579 41
95531.54,VG52 YEDO 0857 1920 3775 5624
40287.09,SM60 K023 8469 951M DMQK 3WVV ZYY
15606.01,NL36 HOIE 9470 2045 82
94037.01,FR56 9757 4110 13F1 3EUJ K9OS C89
5031.31,SE17 5991 1390 9156 6779 5623
70846.23,BA92 0323 7316 2364 3599
4841.3,MR85 7260 7619 1471 1050 4412 062
10860.72,GT88 NDEX GAI3 9AFU Y5XW NEXD QETA
22583.2,SA52 39SU 7QIY C87F DGOE K6YI
9403.04,IL78 1291 2864 5106 9519 079
14828.19,CY03 4966 7994 NHXT ZVJW CFZU OEXS
37292.79,GL49 0358 4764 7638 53
50082.36,IL14 1242 4028 5300 2873 571
63945.2,SE24 4793 2647 2642 5182 1665
14097.64,TR19 4861 2UV6 MXYU UNWW ZEYX RI
72819.74,LB63 5202 1JAR RWIP VSAY ZE7W PFD9
90199.18,FO73 1352 7539 3273 53
50461.45,LB43 9062 VHSG CJJD TOBG OZGW DES7
18042.44,GT88 0S0X AMVN QPVD NVN3 ELMD I0WV
67647.13,NL17 EPGW 7081 9139 25
1624.32,CR80 2565 6701 7665 5839 0
83396.84,RO68 JVNI VYKN MC7E GJDB WTGV
771.34,IL42 6593 9311 4264 2893 628
92898.51,TR78 8529 8D8M SFUP IPG7 ZA95 JY
53490.85,DO49 KTKL 2962 5260 6180 2413 1083
88425.21,KW05 DNBG 8FZD FMBM BLR5 ZEZN YBZN VR
4137.83,AT41 5354 0252 3114 0929
44454.57,CZ71 9079 1544 0048 6813 0904
59539.87,MD52 OVCF FFOP 7NNI 6TS8 18UE
77410.76,GT13 FN39 B7AL RBLV G3EK CCQE FZVF
86294.83,MU54 ZYXR 1832 6651 5398 2256 576L UX
78659.82,LT27 3471 2293 4765 2415
94926.39,GL66 5823 3856 5075 71
47719.47,IE98 HOBT 2942 1164 3496 16
3098.48,ES79 3268 5909 4841 2096 8720
77427.86,KZ54 153O BMJC GLNU 3ZFB
68429.06,LI34 6541 6CTT AY9L 4ZNE Y
76692.68,FR42 4153 2275 811T 8HAG JF1I 005
19354.48,AE74 5494 5211 7900 4468 489
39920.22,GI72 RBDM DVHA TI5H MQ6F GKB
62179.08,CR77 9231 7347 8513 1352 7
93477.26,SI43 8893 0624 9163 601
89904.45,DE09 3489 0511 7202 4996 31
89044.74,AD88 6039 2713 WCTB TQHX VIGG
348.57,FR40 0388 6182 42RR MKHV 6QZB U95
97542.39,NL48 RHJA 6811 8154 73
73205.45,FR11 2879 9073 91SW UQMY 7UWK Q22
33410.88,CZ23 4654 7035 9869 5334 4399
47219.76,SE37 9900 8134 8305 2081 5719
99376.84,FO43 9289 8954 8453 61
52490.55,IE18 ASUJ 4641 3119 2554 61
20974.93,GE17 DV52 4008 6171 4647 27
86979.7,FR15 7794 1684 94KG G8ZW SHLD 976
33391.58,SE53 7842 5895 4074 8726 7284
98876.7,FR85 4145 2995 89OI XTFH BEPB N67
7069.21,DE16 6263 4310 4762 3567 60
44785.44,LU51 512Z OWAU VDQU 6PJP
15157.5,FR89 5934 1280 96LE BRET AK1N V71
30097.56,MU69 EIHE 5496 2379 9993 0001 779N MG
13961.3,SI73 5929 4638 4783 297
94606.01,GB27 ZQXR 9129 6240 8408 76
26035.87,HU71 5589 0200 1479 5900 7327 4067
78116.57,IE79 FNSR 2366 7239 5774 85
60199.81,NO35 4041 3100 777
41254.22,GT10 ROB5 P0PK ANHQ AVFG EHXP YJ2U
44475.54,AZ97 KHRL OK6T ZWSP LFBD VCKS V0TH
87552.26,VG90 OFYG 9734 1098 2889 9355
58557.2,LU19 974X YJ7L K31K XLPT
65711.38,KZ22 090V YLWH 9MRI HE95
20019.55,BA02 5530 2849 9240 5333
50178.76,AZ88 FUZG FVM7 VNMP 2EJP 9ESM 18YA
48515.1,DK95 7530 1561 4239 28
70975.99,FR79 1940 6718 13UB BFOC 6M1Z I01
67944.72,BE96 0201 5968 1322
92644.32,BH15 GTNK GKXI TOTS OT5N AN
27323.92,KW57 DEFR KOXT T6XS RP69 MKED GHRR QG
16219.09,FR13 3626 2482 14O7 E62J L3FF 937
37328.43,LB42 9386 OHOO 4LFD TUSA GBCJ AJ2R
18113.33,DO53 EEMJ 6975 8295 7176 6969 3012
13453.86,LT04 3315 7873 0302 5537
82.48,KW34 TCQI VEVE HGBK A6ON PPWY 8640 QA
35307.08,GE96 RM15 9775 8767 4902 03
63578.25,FR93 4444 3416 64BR P3VY 6Z9L S83
9713.58,BR14 4293 2967 5750 9984 0406 128A U
85996.85,FO25 1893 6225 7347 89
60512.36,GT91 D2YD 3RTL BN7V K3PM SJ28 8T16
93407.45,GT26 AAVN DDJR WXOZ 1TAU SRTL ZCMB
30456.84,FR55 8036 2815 642J YOIM L0JZ 763
59693.16,GR17 6417 2303 OBSS K3ZJ SSP3 M9G
63418.5,LT60 8863 0946 6705 0893
90098.01,FR38 9870 5999 803V ADLJ U9R3 C90
54367.35,FR88 6340 2585 67CY VE5B AKCG 965
7952.7,FR95 8060 2666 631G PMUH Q1OT F62
18546.07,AL86 8721 6819 BKBX 2JCK L3P6 AXDZ
47790.48,FO22 8316 0415 5139 36
92537.0,HU81 1767 5703 4232 1872 2306 6540
98290.63,FR47 6049 3494 78MW 5F56 UCGI K77
66290.19,SE20 0982 1008 3586 9560 1858
2127.37,GI29 NDOP DC5M YHX7 F1DI VMX
49700.45,KW14 ERTG XKV4 LIBP BCRE SJKO E4EL 5K
33040.14,IE19 HXWS 5874 4577 7799 47
2973.22,IT92 U699 7921 846T XIW8 W0ZA SLG
24150.62,GR55 4056 624L LVOG IW4I CBIZ L8H
20814.97,MT14 IFEG 2794 91YU T3Q0 MKVB 9YYG RKA
42269.3,FR57 9076 0323 83EB 42LU J9GM S06
95514.23,TR89 2518 9E8W AP2V 5AKC YF2X H8
26531.52,MR60 6051 9762 4423 1246 1687 586
53744.37,FR91 5471 5584 70ED RLA8 TAU2 H92
91765.44,BH92 EVLJ 2HZQ VJBM UMGM ZB
26517.83,MD66 AJDO A86B 5YHW XOO6 5JSR
10035.76,FR59 6591 9568 18P6 PFSE JDKH 392
96652.65,TR61 1936 1LZJ URWM WDGL QQWX DG
15083.92,KZ78 443D 3J7J 07T7 CWZ2
36546.62,IT85 F740 4681 795P H8B3 RNB5 BJP
26856.75,BG73 UHFQ 6628 92PP HJBK FV
57860.35,TR07 9830 7J6U TXRD MXS2 VWEP JL
65853.49,MD85 5U79 0SNQ SFBN FPSH 46QQ
21150.3,FR68 3166 1795 86BR VUEO 1CZJ T61
43229.78,MD86 3JCI VV47 GC1T Y1QS ZO07
72185.9,GI73 UZUK ZKBW DS7R ZZDS 43F
73098.72,EE43 8197 9235 1649 0201
66302.67,GI98 RLZJ ZSIT B0Q6 2K3O IBZ
88941.66,FR38 2507 4106 26OT MZXL KQ1S 775
25424.83,FI31 5813 2464 3813 11
14966.01,PT55 8543 0438 8528 4228 7745 7
12256.05,GE21 BG63 9268 2592 4648 99
92340.97,TR49 1303 4LUQ MWUI 7FB8 Q1YM NG
78473.34,FR06 3647 4528 006Q 3ILM 7ZWD F88
18417.23,HR44 1084 4202 7892 7184 1
82948.38,LB15 8267 MPRU PXNA 1IAS E1RE PNQX
65804.0,DO19 DOEN 9191 8602 2825 1088 5559
48105.05,FR65 8147 0398 99H5 SCEQ XSF9 G28
70435.03,FO94 6643 6544 0902 16
930.21,CR12 4822 3180 4148 2152 6
2586.44,MC15 9864 3346 79I4 SEFU JRS7 T34
78186.37,CR74 9019 3185 5299 8930 8
36294.46,FI94 0805 8557 7431 34
8956.14,FR62 5489 9330 53DZ KEGQ RRUA 162
94346.92,MR94 7531 4001 2476 3180 1147 975
77490.89,CH03 3662 1GX9 CYYZ 6TDB 5
44815.49,DK59 5897 1361 2859 23
72567.55,FR30 6810 5141 84CV GG2B SRC1 F71
53690.86,MR50 2338 8964 4432 2115 2535 605
1437.99,HR07 5245 3454 5337 1647 5
58721.05,AL03 4335 5000 U481 8NLA XWQO 4LSB
89052.1,AZ46 ZRAM BKJP WKAQ ZZDD 8IHX BN9N
95042.01,MR43 6655 1699 2216 1796 8576 885
32988.84,LT69 5137 1824 0173 3205
39750.47,FR34 9285 4195 69EC H9UQ NXMD R24
3440.75,FO90 2186 4359 7047 51
19409.38,LB94 7783 TDKR NFZM 3WKQ PMST YJXB
40454.03,LV73 AZMI NPQX MXQB PHGX Q
72554.06,HU59 6786 0890 5084 1932 0528 3624
60076.08,MD18 KT96 1GT8 BLJK WU63 NKLX
18433.94,LT86 0398 0469 0610 7238
70486.56,GI64 AMRU 8HFW BVPM 3N7Z LO2
14969.67,MC08 3322 5681 87HW VVTC ABAC B17
61201.96,SM98 I057 9935 654G PAPC ZJYW ZLZ
51922.18,KZ30 546F I0U8 H4TM NGL9
4403.45,FR92 6402 7497 6281 LHHC NTOM P49
16912.99,KZ27 6200 OGNE UT67 QJUQ
57290.34,GL58 8419 4541 3980 03
76061.56,BH70 YBER 5VDU HRE4 IIDT FW
64129.74,IS16 9312 8777 0511 4548 5670 44
5041.92,FR88 4751 7565 01AY DJV2 VKBX X63
62154.1,BR56 4317 8445 3387 8540 8534 645Y M
47970.82,KW78 WERD PDYK 5LFY UOZ4 PMJO 9PXM RT
3321.22,FR22 7789 8258 95S2 2QF7 TAKS K57
83458.5,AL39 2940 3589 QM58 B3MG MWEV 181L
94553.1,PL87 5032 7588 6225 2616 5631 9297
86244.85,BG77 HWXA 0893 455Z CR02 6U
24858.5,MC67 6625 1295 91ZO 0ITT 6PNU Y92
38741.34,FR86 2717 6097 53EI 7IYB 8D1D K17
43723.73,IT91 D837 9912 691F JRQ3 7NR0 LKF
80875.96,FR44 2558 8321 66VW 1YWF BJE4 392
48097.65,FR31 6034 6604 23OL 8J9E 5ZT3 Q60
89020.13,BH08 UUCS 35P4 YGGI ORJE 38
42466.69,LT75 7050 8208 7648 8858
55267.38,MT82 DINH 7805 0DOW E3C4 3QRX AX9L KKG
55050.52,PT36 5189 2131 2003 2657 2812 3
19243.33,FR08 8770 1010 35RA IO3S B0ZN B22
95398.06,FI09 7323 8784 5764 87
9665.46,GL26 2393 2713 2380 33
33877.29,IE28 YOPO 6616 1965 9012 63
26189.17,DE77 0098 0390 1108 2241 11
55583.76,CR05 8351 0685 0630 8828 5
93654.92,MR02 2800 0828 8357 4972 0078 942
40932.94,FR64 6053 2833 63LC ODT5 32DV C76
10327.43,PK73 QMCD R8ED IPDF HKUR W9XH
26389.93,KZ89 449Z E3ML EYM2 GJ5L
19956.69,ES25 3794 1571 5422 9760 8879
15339.55,MR06 7400 0834 6663 4256 9311 654
28052.48,RS73 5736 5955 2691 0865 84
20981.29,BA63 0765 4023 6493 0909
47804.33,GR24 6026 182I T4KQ ZEPC HIPN BH2
31591.17,GE76 OX62 4882 6066 1499 56
28072.01,MR82 2937 3486 4097 2774 8587 955
49671.62,NO91 7663 3378 561
34531.26,DO90 0JLI 0780 2491 9030 5783 3017
68482.82,FR49 1693 0735 56DJ ETQ1 1D6B J25
22226.95,SE68 6162 1078 3886 2748 4730
64797.07,PL20 2689 0438 3430 3089 2610 7247
3135.25,RO69 BWWQ BGF8 JUOK 2JZQ FV5K
92522.42,CH07 7455 5PGQ KLKQ GVZW 9
24010.68,SE16 9806 1760 2918 9069 5195
10861.89,SM43 E980 8499 301T JVYP YR1E TZZ
22425.6,FR24 6105 4559 578Y 41N1 AA8Y 289
63134.27,NL07 QREI 4980 6894 68
54297.84,FR40 1973 1425 01HU DL65 14XX D23
84472.96,AE20 6953 3028 3916 9113 545
19358.54,MR30 8522 0429 9199 6559 7637 013
89588.31,CR82 1099 3333 4808 0850 2
70048.37,IT12 P579 5301 273P 12TB UGVS 84E
19504.65,PT66 4667 2661 5069 6207 0168 8
90216.57,SK53 7242 6015 1199 4843 6252
25088.0,EE56 6685 5406 0892 7439
36020.3,GE95 RJ67 1235 5789 7558 51
99746.95,RO18 EUTN ZQP4 0AFS RFBD NHBP
19980.03,FR19 7776 5834 31SZ 388S W4N5 730
43467.71,KW15 VMOW LKLL BWUV HAU5 BNMA VGBD HX
6861.99,BA74 6978 0172 2462 2672
23891.93,DO57 ZHOU 5720 4603 0657 6816 9568
70668.95,FR96 8971 7919 04DU ESWW UFP1 T35
75038.66,FO09 7683 5482 2460 00
9597.24,KW45 HCGZ ZL57 1OFE EKAD CRWE 5DF7 M5
65129.95,FO64 5674 9544 5597 94
80125.95,MT34 JDLW 9655 90MA 0QGC IQLI 0ORM F88
60620.15,FR83 7997 2087 35AE SKXX 1GRN 375
4364.04,FR92 0816 8009 75CV RRLH S8UE 108
49519.52,IE18 YDCK 1867 6182 6951 01
49526.23,FR83 5041 5459 59VW D1GT MBMA D54
78100.17,DE51 7947 0091 6547 7780 09
69764.89,SI65 9171 5030 9804 428
8769.3,DE96 9758 9510 0895 9552 59
56183.57,AL83 5948 1544 5X2G JWRH FFCV WPFV
30841.48,MT03 OVUW 1024 9NIK MWTF AH26 DVYU VTL
48387.57,GB68 FYWS 7016 9487 8726 71
6488.75,LB19 5007 LPQW M7HR JP3S H3RQ OPSA
70583.23,AZ10 VCXN 3OMK PHRW OKO0 XM23 AOG6
19170.52,ES89 8922 9227 3612 1138 2813
24183.76,PT25 4728 1033 1699 1553 3387 7
22424.95,FR19 5299 6491 280H FOPF HSNP J83
95477.05,GI65 ELYW KAAK BNBZ XXHW BAJ
37326.64,FR52 7590 8569 9642 M3Z5 TC0V V69
47911.6,CH75 4022 686T YU0J LE0T A
50669.22,FO22 9876 5374 8792 01
62975.37,FR26 5792 4067 32KF 4N50 TQPW C04
77526.59,CY16 2455 1771 RMMB D90R 47TR AQQJ
95039.05,TN67 5657 3624 7971 4133 4558
61974.09,AE58 4982 1340 9484 7598 093
29050.3,IS26 5404 4930 8228 8444 7407 78
16181.79,TN92 7835 4845 6485 8998 6726
29199.51,LB08 0154 VJ9Q IUYJ FM5X JZXD VGUM
7357.74,FI17 8722 1666 4800 79
77843.32,SM68 V939 8609 873S XWJS M0T4 5TQ
72720.86,DK67 5943 4003 5260 83
98079.22,MC67 6948 2164 60JY 6G2X S594 O18
39520.69,AD69 2629 5058 NTCR HB67 BTL6
75865.33,KZ06 076U KXEB 1KQW IAEQ
20987.74,NL15 XNRW 9836 0820 33
55104.79,IS95 8199 2250 2955 3749 9048 61
42075.25,AZ97 MIFF TYPD YML7 IBSR HPSY CJFB
97695.3,IL80 2125 0018 2782 5652 881
41658.85,HR57 0160 7933 1969 5401 9
30019.08,GL78 0583 2093 6693 20
31258.01,FR11 1899 0604 73BJ WPCC PMFC I44
56511.21,FR14 2365 8115 28Q8 FQIA MDYY Z99
69726.37,NL13 QUVU 0415 5320 46
94685.79,VG89 KKNQ 7170 4911 7119 2204
71986.12,PL12 0337 8609 8431 7426 3635 2231
13199.38,FR06 3118 9055 66XY 5PZM NIY5 R12
48698.03,FR39 8604 1837 40XJ G094 XP1L T28
57422.36,FR68 9630 1413 73ZY NQIN WLTJ A91
325.81,AE98 2362 9641 7079 8383 646
86191.37,FR64 4163 7989 47E7 J3Q1 LRS6 C46
40960.71,DE60 0805 8648 6888 9584 42
33100.58,TN87 1560 7179 1064 5583 8310
14399.01,SK05 2587 7081 7059 4217 5618
36325.99,AE90 8799 1159 7236 9141 939
98785.08,BA59 9715 2372 7116 0250
24005.99,PL27 5307 4731 5264 0471 0334 0307
14410.84,LV05 HJFI HMQN XYVX VXSS B
2670.63,ES79 2472 4180 7867 5932 6900
39893.76,MU62 PCMD 2127 9757 4854 9605 381I BP
14363.47,GL97 1537 6923 7900 97
7210.75,CR16 9232 0300 7515 0559 5
40190.28,FR22 9292 6531 858P KA6G 6UU9 R86
78815.28,SE38 2129 7020 1569 3651 5264
72060.58,LV60 ELLM 5ZY5 TIXM NHER J
44992.97,HR31 3032 4277 9939 7335 5
18771.26,RS19 7145 2190 8566 5385 80
36250.78,LB28 5649 WTMS NFUS SQDL LF2B TMZ6
63178.6,CZ32 2687 8204 5093 1774 9300
66951.8,SI67 3844 1632 0480 940
99476.82,BE89 6595 1040 6290
69850.56,EE25 0648 6340 7498 6541
27932.56,FR23 3689 5037 83NY LL6E YAET Q82
7393.94,PS96 ELSZ H61V 77QF DALT NNTL F7QC H
11528.01,ES79 4365 3890 7917 4041 8474
26684.02,MC70 0396 0483 04IP KZ3K Y0X3 Q85
98698.97,GI33 LLCT VGBB 7VLC RT5J XIH
63232.83,MR80 9679 8791 2660 0117 6923 100
35410.13,ES43 7569 7843 2314 7498 8879
23677.74,FR55 7788 5960 98IB OAML VUI6 P07
21321.42,LV46 CRHT TDET 3TYE U4F2 B
39946.61,MK61 550V RG68 IZSE K53
82575.54,FR35 9108 8975 08MY JU0E F1AL L21
15283.22,PT78 0140 3365 4360 1898 8451 9
43392.01,CY16 9705 5066 RI8X PMIH R6VS ELPC
66184.98,FR10 3293 7519 87QK C5IB 8UQW N67
87985.67,DK67 7313 9897 6373 75
82822.09,PK90 XUTZ ZZ4X 6ONA 0E4T 6P3V
86453.25,FR13 8698 7229 84JK KIQQ EGTL Q79
57194.68,GR04 0630 195G SKYZ EHVU I3XL AMM
98275.28,GR62 6797 562C 8EKI AS4S 4USQ SUM
33845.01,FR90 7704 8477 51OH HEPN BPMJ V56
89413.88,RS13 6367 7943 1216 0564 83
60015.04,PT10 0168 4692 3294 5508 3588 4
35713.55,GB10 MEVF 2086 3011 1027 43
97782.45,GE86 NO68 2441 6582 8662 03
38594.8,FR83 0418 4314 63AF OJEF SV7E Z54
78294.4,GE51 MV74 5283 5869 4776 67
55069.59,PL20 6172 6466 5073 8397 3937 0781
47041.44,LB83 1622 PQNW IAPO RN81 KBQ6 HJKB
83315.32,FR06 1068 5632 550V KUKS BYOL T55
44610.76,CY89 4181 2188 DPZD ND38 UFVV 6EG7
60934.55,BH65 ROPD 5SVP 8TCT JHXZ UB
74376.29,GL68 3623 3793 6960 91
21527.01,RS21 0092 3340 6396 5324 13
90068.81,FR33 9306 8653 52SS ZU5S B9C7 N06
95711.22,PK74 DSWF BXAQ 5SUK VFUL LO7E
81553.49,CZ79 2675 6529 4932 1186 5939
26282.99,SI46 1383 9794 2649 839
23725.02,SA75 31MA TQD5 KE0N NWVQ KXQQ
82362.47,SE84 2061 6523 4387 0014 2489
35612.99,SI30 0711 2674 1212 703
75012.59,CH26 4225 6WFX 5NRF 8IBN O
66147.07,MC58 0268 0254 261G CZYR USFA 347
61106.98,LI77 2960 4CWD KREP J0MW 2
65899.77,TR49 8740 3RIX INZV 79MV QHBQ 2Y
23337.48,TN80 0021 8160 1850 7097 8164
24217.72,IS61 9402 3057 2198 5839 9433 93
27633.48,MD16 W2JK M0EG 9JFH FEDZ 0U85
68272.56,GB60 XVWQ 2426 1450 2325 24
